"","COUNTY.NAME","UnwelPct","pct65pls","Staffed","Beds","ICUBeds","F_Count","F_Staffed","F_Beds","F_ICUBeds","Negative","Total","PercentPositive","AREA_SQMI","E_TOTPOP","RPL_THEME1","RPL_THEME2","RPL_THEME3","RPL_THEME4","RPL_THEMES","Confirmed","Deaths","Recovered","Active","POPDEN","CASEDEN","CASEBYPOP"
"47","Knox",18.799969811,15.418092063,1650,1761,147,4,1395,1541,147,637,703,0.0938833570412518,508.3311719,456185,0.0532,0,0.8723,0.5213,0.1277,66,1,0,0,897.416930570887,0.073544411467716,0.000144678145927639
"48","Lake",26.136107751,15.640064274,0,0,0,0,0,0,0,10,10,0,165.7849571,7526,1,0.5,0.4787,0.9574,0.9787,0,0,0,0,45.3961573573915,0,0
"49","Lauderdale",26.190156529,15.743451769,25,25,0,1,25,25,0,28,28,0,471.9669049,26297,0.9362,0.9362,0.8085,0.9894,1,0,0,0,0,55.7178898074893,0,0
"50","Lawrence",20.264095178,17.628352844,89,99,6,1,89,99,6,97,99,0.0202020202020202,617.1256807,42937,0.7766,0.8404,0.5319,0.7021,0.8936,2,0,0,0,69.5757790395256,0.0287456357314205,4.65798728369472e-05
"51","Lewis",20.239818942,20.656418779,0,0,0,0,0,0,0,16,18,0.111111111111111,282.0918104,11956,0.4574,0.9043,0.1277,0.8404,0.5426,2,0,0,0,42.3833644197138,0.0471883255938441,0.000167280026764804
"52","Lincoln",22.232882235,19.208319753,49,59,6,1,49,59,6,45,46,0.0217391304347826,570.3418481,33711,0.2872,0.8511,0.6489,0.734,0.5957,1,0,0,0,59.1066570203513,0.0169185680668031,2.96639079232298e-05
"53","Loudon",17.752600339,25.926138978,30,50,5,1,30,50,5,82,90,0.0888888888888889,229.2719178,51610,0.1489,0.117,0.8617,0.2234,0.1596,8,0,0,0,225.103887537683,0.0355391463359814,0.000155008719240457
"54","Macon",21.938332881,15.395157606,25,25,0,1,25,25,0,57,61,0.0655737704918033,307.1435039,23487,0.5426,0.8617,0.6277,0.3511,0.6915,4,0,0,0,76.46914130291,0.0523086820624175,0.000170306978328437
"55","Madison",19.117741475,16.563399322,805,842,89,2,757,794,89,131,136,0.0367647058823529,557.1070075,97682,0.2553,0.5319,0.9255,0.9043,0.617,5,0,0,0,175.337948876904,0.0285163595903032,5.11865031428513e-05
"56","Marion",19.751056447,19.546174142,0,0,0,0,0,0,0,35,40,0.125,498.252392,28417,0.3936,0.766,0.234,0.1596,0.2979,5,0,0,0,57.0333438559789,0.087668014216842,0.000175951015237358
"57","Marshall",17.266503509,15.875618718,25,25,0,1,25,25,0,99,100,0.01,375.4619246,32269,0.2979,0.6915,0.8404,0.1915,0.4149,1,0,0,0,85.9447999537581,0.0116353752703833,3.09894945613437e-05
"58","Maury",19.45067186,15.502967568,265,255,41,1,265,255,41,374,389,0.038560411311054,613.1381351,89776,0.0957,0.3511,0.8298,0.2553,0.1915,15,0,0,0,146.420512541367,0.102444662565719,0.000167082516485475
